category,top_keys
政治,"[('台灣', 67), ('條例', 53), ('政府', 50), ('台中市', 36), ('生煤', 31), ('行政院', 25), ('民眾', 24), ('預算', 22), ('總統', 18), ('中國', 18), ('國際', 17), ('人士', 16), ('條文', 16), ('規定', 16), ('台中', 16), ('臉書', 16), ('空污法', 15), ('地方', 15), ('網軍', 15), ('帳號', 15), ('立委', 14), ('肺炎', 14), ('中央', 13), ('台電', 13), ('疫情', 13), ('以色列', 13), ('中火', 12), ('立法院', 12), ('江啟臣', 12), ('國家', 11), ('武漢', 11), ('場所', 11), ('石油焦', 11), ('委員會', 11), ('民進黨', 11), ('口罩', 11), ('員工', 11), ('資訊', 11), ('公私', 10), ('空污', 10), ('房屋', 10), ('人民', 9), ('林佳龍', 9), ('空氣', 9), ('機組', 9), ('爭議', 9), ('經濟', 9), ('法官', 9), ('方面', 8), ('聖座', 8), ('台北', 8), ('病毒', 8), ('行動', 8), ('粒狀', 8), ('辦法', 8), ('市府', 8), ('黨團', 8), ('王育敏', 8), ('女性', 7), ('代表', 7), ('社會', 7), ('污染物', 7), ('設施', 7), ('環保署', 7), ('國民黨', 7), ('社群', 7), ('平台', 7), ('子法', 7), ('副主席', 7), ('全球', 6), ('蔡英文', 6), ('比例', 6), ('教廷', 6), ('文化', 6), ('冠狀', 6), ('方式', 6), ('污染源逸', 6), ('散性', 6), ('燃煤', 6), ('業者', 6), ('經濟部', 6), ('民眾黨', 6), ('蔡宜芳', 6), ('消息', 6), ('主委', 6), ('精神', 6), ('行政', 6), ('朝野', 6), ('產業', 6), ('房屋稅', 6), ('股市', 6), ('民間', 6), ('國會', 5), ('世界', 5), ('教宗', 5), ('副總統', 5), ('工作', 5), ('環境', 5), ('衛生', 5), ('司法院', 5), ('火力', 5), ('新聞稿', 5), ('中央社', 5), ('記者', 5), ('組織', 5), ('黨員', 5), ('沈伯洋', 5), ('產品', 5), ('黨部', 5), ('學者', 5), ('發言人', 4), ('聯合國', 4), ('部會', 4), ('資料', 4), ('地圖', 4), ('外交部', 4), ('方濟', 4), ('佳安道', 4), ('疾病', 4), ('人員', 4), ('市長', 4), ('污染源', 4), ('電廠', 4), ('使用量', 4), ('許可證', 4), ('陳時中', 4), ('經驗', 4), ('張益贍', 4), ('訊息', 4), ('會議', 4), ('標準', 4), ('民意', 4), ('黨務', 4), ('刀口', 4), ('辦事處', 4), ('李問', 4), ('團隊', 4), ('正義', 4), ('法案', 4), ('稅率', 4), ('黨版', 4), ('檢察官', 4), ('法官法', 4), ('吳玉琴', 4), ('元首', 3), ('婦女署', 3), ('聯盟', 3), ('議員', 3), ('中華民國', 3), ('立法委員', 3), ('使節', 3), ('外交', 3), ('目標', 3), ('整體', 3), ('宗教', 3), ('措施', 3), ('議題', 3), ('燃氣', 3), ('市民', 3), ('媒體', 3), ('責任', 3), ('發電廠', 3), ('期間', 3), ('成果', 3), ('病例', 3), ('原則', 3), ('選舉', 3), ('文傳會', 3), ('華新', 3), ('同事', 3), ('內容', 3), ('台灣人', 3), ('行為', 3), ('危機', 3), ('人事', 3), ('秘書長', 3), ('蘇貞昌', 3), ('時候', 3), ('柯思畢', 3), ('人次', 3), ('馬祖', 3), ('不動產', 3), ('實價', 3), ('記者會', 3), ('平均地權', 3), ('住家', 3), ('預售屋', 3), ('時代', 3), ('力量', 3), ('法務部', 3), ('法律人', 3), ('總統府', 2), ('推文', 2), ('眼鏡', 2), ('偏見', 2), ('勇氣', 2), ('現實', 2), ('一體', 2), ('權力', 2), ('大使館', 2)]"
科技,[]
運動,"[('安打', 39), ('肺炎', 36), ('武漢', 35), ('比賽', 34), ('疫情', 28), ('印度', 27), ('球員', 19), ('奧運', 18), ('賽事', 18), ('美國', 16), ('大學', 16), ('聯賽', 14), ('疾病', 12), ('病毒', 12), ('聲明', 11), ('打點', 10), ('羽球', 10), ('複賽', 10), ('錦標賽', 10), ('NBA', 10), ('聖火', 9), ('冠狀', 9), ('球隊', 9), ('政府', 9), ('棒球', 9), ('文化', 9), ('林家瑩', 9), ('希臘', 8), ('日本', 8), ('台灣', 8), ('熱身賽', 8), ('投手', 8), ('板球', 8), ('新台幣', 8), ('東京', 7), ('體育', 7), ('裕隆', 7), ('全壘打', 7), ('北市', 7), ('公開賽', 7), ('足球', 7), ('機會', 7), ('資格賽', 7), ('單位', 6), ('職棒', 6), ('單局', 6), ('世界', 6), ('聯盟', 6), ('人員', 6), ('王柏融', 6), ('歐洲', 6), ('總會', 6), ('嘉義', 6), ('時間', 6), ('侯羿輔', 6), ('委員會', 5), ('民眾', 5), ('衛生', 5), ('籃球', 5), ('球場', 5), ('獅隊', 5), ('終場', 5), ('球迷', 5), ('二壘', 5), ('大專', 5), ('戰績', 5), ('柯瑞', 5), ('儀式', 4), ('接力', 4), ('當局', 4), ('九太', 4), ('洋將', 4), ('郭阜林', 4), ('計畫', 4), ('病例', 4), ('打數', 4), ('打擊', 4), ('英超', 4), ('一級', 4), ('嘉大', 4), ('狀況', 4), ('職業', 4), ('西武隊', 4), ('高球', 4), ('巡賽', 4), ('廖文男', 4), ('員工', 4), ('活動', 3), ('國際', 3), ('決定', 3), ('名人賽', 3), ('璞園', 3), ('板樹', 3), ('體育館', 3), ('紀錄', 3), ('高雄', 3), ('呂政儒', 3), ('曾陶鎔', 3), ('觀眾', 3), ('觸身球', 3), ('失誤', 3), ('賽森', 3), ('台啤', 3), ('冠軍', 3), ('工作', 3), ('協會', 3), ('體育部', 3), ('家庭', 3), ('火腿隊', 3), ('宋家豪', 3), ('攻勢', 3), ('衝擊', 3), ('陽性', 3), ('譯者', 3), ('核稿', 3), ('IPL', 3), ('損失', 3), ('比數', 3), ('限期', 3), ('賽季', 3), ('可能', 3), ('年紀', 3), ('田徑', 3), ('西武', 3), ('潘政琮', 3), ('洛夫', 3), ('勇士隊', 3), ('門票', 3), ('美洲區', 3), ('經典賽', 3), ('奧林匹亞', 2), ('奧林匹克', 2), ('冠狀病毒', 2), ('全球', 2), ('奧委會', 2), ('波士頓', 2), ('馬拉松', 2), ('高爾夫', 2), ('日期', 2), ('新北市', 2), ('籃框', 2), ('差異', 2), ('三分球', 2), ('新高', 2), ('隊友', 2), ('中華', 2), ('味全龍', 2), ('龍隊', 2), ('中職', 2), ('開幕戰', 2), ('鄭鎧文', 2), ('情況', 2), ('。獅隊', 2), ('王玉譜', 2), ('，龍隊', 2), ('籃板', 2), ('大三元', 2), ('雙位數', 2), ('模式', 2), ('火力', 2), ('黃聰翰', 2), ('地方', 2), ('新德里', 2), ('措施', 2), ('辛哈尼亞', 2), ('方針', 2), ('福利部', 2), ('好手', 2), ('橫濱隊', 2), ('樂天金鷲', 2), ('後援', 2), ('一壘', 2), ('巨人', 2), ('英格蘭', 2), ('危機', 2), ('會議', 2), ('階段', 2), ('醫學', 2), ('建議', 2), ('勁旅', 2), ('反應', 2), ('隊伍', 2), ('皇家', 2), ('馬德里', 2), ('經驗', 2), ('消息', 2), ('勁敵', 2), ('預賽', 2), ('東南亞', 2), ('寶島', 2), ('夢想家', 2), ('方式', 2), ('訓練', 2), ('鉛球', 2), ('全大運', 2), ('選手', 2), ('程度', 2), ('養樂多隊', 2), ('吳念庭', 2), ('木村文紀', 2)]"
證卷,"[('指數', 31), ('台股', 30), ('跌幅', 28), ('金額', 20), ('美國', 20), ('市場', 19), ('美股', 19), ('公司', 18), ('疫情', 17), ('現金', 16), ('營收', 16), ('股市', 16), ('新台幣', 15), ('台灣', 15), ('保證金', 15), ('法人', 14), ('期貨', 12), ('契約', 12), ('投資人', 11), ('外資', 11), ('台元', 11), ('員工', 11), ('櫃買', 10), ('股利', 10), ('董事會', 10), ('中國', 10), ('全球', 10), ('淨利', 10), ('六角', 9), ('產業', 8), ('交易', 8), ('股票', 8), ('武漢', 8), ('肺炎', 8), ('盈餘', 8), ('毛利率', 8), ('台化', 8), ('華通', 8), ('中心', 7), ('經濟', 7), ('訂單', 7), ('手機', 7), ('業績', 6), ('風險', 6), ('股價', 6), ('融資', 6), ('聯準會', 6), ('新高', 6), ('需求', 6), ('年增', 6), ('張數', 6), ('客戶', 6), ('發表會', 5), ('會議', 5), ('電子', 5), ('殖利率', 5), ('信心', 5), ('股東', 5), ('證券', 5), ('交易所', 5), ('全體', 5), ('終場', 5), ('交易日', 5), ('道瓊', 5), ('央行', 5), ('衝擊', 5), ('電子盤', 5), ('方案', 5), ('股息', 5), ('百分點', 5), ('利益', 5), ('純益', 5), ('產能', 5), ('裕隆', 5), ('集團', 5), ('資訊', 4), ('家數', 4), ('統計', 4), ('成交量', 4), ('措施', 4), ('機會', 4), ('主管', 4), ('短線', 4), ('蔡明翰', 4), ('走勢', 4), ('早盤', 4), ('台塑', 4), ('配發率', 4), ('京元電', 4), ('京元', 4), ('大陸', 4), ('日本', 4), ('幅度', 4), ('問題', 3), ('特色', 3), ('富櫃', 3), ('庫藏股', 3), ('資金', 3), ('周轉率', 3), ('工業', 3), ('譯者', 3), ('核稿', 3), ('賣壓', 3), ('狀況', 3), ('影響', 3), ('權值股', 3), ('因素', 3), ('歷史', 3), ('熊市', 3), ('台積電', 3), ('理監事', 3), ('鐘國忠', 3), ('動能', 3), ('陸股', 3), ('品牌', 3), ('茶太', 3), ('收盤價', 3), ('子公司', 3), ('跡象', 3), ('日經', 3), ('配息', 3), ('策略', 3), ('股本', 3), ('長期', 3), ('凱美', 3), ('能力', 3), ('創業板', 3), ('深證', 3), ('成指', 3), ('大廠', 3), ('軌道', 3), ('科技', 3), ('基地', 3), ('供應鏈', 3), ('中系', 3), ('廠區', 3), ('期貨商', 3), ('營業日', 2), ('活動', 2), ('網頁', 2), ('財務', 2), ('聚落', 2), ('主題', 2), ('生技', 2), ('執行率', 2), ('情況', 2), ('權益', 2), ('市值', 2), ('證交所', 2), ('零組件類', 2), ('金融', 2), ('標準', 2), ('普爾', 2), ('那斯達克', 2), ('陳昱婷', 2), ('維持率', 2), ('國泰', 2), ('證期', 2), ('顧問處', 2), ('分析師', 2), ('高點', 2), ('空頭', 2), ('利率', 2), ('亞洲', 2), ('黑翻紅', 2), ('尾盤', 2), ('亞股', 2), ('日盛', 2), ('總經理', 2), ('預期', 2), ('國際', 2), ('旗下', 2), ('速度', 2), ('基期', 2), ('歐股', 2), ('富邦', 2), ('標的', 2), ('四寶', 2), ('信錦', 2), ('報告', 2), ('產品', 2), ('資本', 2), ('基準', 2), ('政策', 2), ('年度', 2), ('獲利', 2), ('機關', 2), ('董事長', 2), ('午盤', 2), ('人民幣', 2), ('綜指', 2), ('類股', 2), ('期間', 2), ('應用', 2), ('東京', 2), ('環境', 2), ('變化', 2), ('階段', 2), ('新低', 2), ('貿易戰', 2)]"
產經,"[('台灣', 35), ('業者', 30), ('市場', 28), ('疫情', 26), ('銀行', 20), ('新台幣', 18), ('資金', 15), ('企業', 15), ('貸款', 14), ('國際', 14), ('肺炎', 12), ('經濟部', 12), ('金融', 12), ('經濟', 11), ('協會', 11), ('定向', 11), ('利率', 11), ('沈榮津', 11), ('武漢', 10), ('全球', 10), ('花旗', 10), ('計畫', 9), ('產品', 9), ('需求', 8), ('衝擊', 8), ('虎航', 8), ('金額', 8), ('產業', 8), ('店家', 8), ('中山路', 8), ('政府', 7), ('普惠', 7), ('美元', 7), ('客戶', 7), ('台北市', 7), ('營業人', 7), ('越南', 7), ('內政部', 7), ('平台', 6), ('國家', 6), ('長期', 6), ('科技', 6), ('外匯', 6), ('台電', 6), ('公司債', 6), ('街道', 6), ('時間', 6), ('百分點', 5), ('董事長', 5), ('華航', 5), ('董事', 5), ('總經理', 5), ('技術', 5), ('團隊', 5), ('原油', 5), ('方案', 5), ('設備', 5), ('系統', 5), ('規模', 5), ('庫存', 5), ('影響', 5), ('餐飲', 4), ('業務', 4), ('冠狀', 4), ('病毒', 4), ('疾病', 4), ('會員', 4), ('中國', 4), ('股份制', 4), ('領域', 4), ('年期', 4), ('背景', 4), ('現金', 4), ('軟體', 4), ('人才', 4), ('專案', 4), ('油價', 4), ('跌幅', 4), ('亞洲', 4), ('支出', 4), ('集邦', 4), ('記憶體', 4), ('措施', 4), ('工業', 4), ('經濟部長', 4), ('民生', 4), ('化工', 4), ('原料', 4), ('統計', 4), ('新北市', 4), ('中正路', 4), ('台中市', 4), ('黃偉基', 4), ('公園', 4), ('管理處', 4), ('權利金', 4), ('遊客量', 4), ('張維銓', 4), ('消費', 3), ('業績', 3), ('口罩', 3), ('旗下', 3), ('央行', 3), ('商業', 3), ('降準', 3), ('負責人', 3), ('成本', 3), ('小微', 3), ('董事會', 3), ('日本', 3), ('經驗', 3), ('機會', 3), ('泰國', 3), ('行動', 3), ('價格', 3), ('美股', 3), ('台股', 3), ('外資', 3), ('交易員', 3), ('力道', 3), ('方向', 3), ('台北', 3), ('電池', 3), ('工業區', 3), ('廠房', 3), ('產線', 3), ('方式', 3), ('機械', 3), ('品牌', 3), ('機構', 3), ('挑戰', 3), ('財資', 3), ('座談', 3), ('原物料', 3), ('政策', 3), ('忠孝東路', 3), ('期間', 3), ('家數', 3), ('租金', 3), ('預算', 3), ('性質', 3), ('電商', 3), ('範圍', 2), ('業別', 2), ('國家隊', 2), ('民眾', 2), ('餐飲業', 2), ('難關', 2), ('商業司', 2), ('商家', 2), ('官網', 2), ('考核', 2), ('標準', 2), ('條件', 2), ('上述', 2), ('新聞稿', 2), ('實體', 2), ('經營性', 2), ('單戶', 2), ('準備金率', 2), ('體系', 2), ('動態', 2), ('建築', 2), ('企管', 2), ('博宇', 2), ('陳漢銘', 2), ('東京', 2), ('分公司', 2), ('張明瑋', 2), ('人選', 2), ('公司', 2), ('英國', 2), ('大學', 2), ('地區', 2), ('中心', 2), ('員工', 2), ('中小型', 2), ('基礎', 2), ('印尼', 2), ('用戶', 2), ('幅度', 2), ('週線', 2), ('走勢', 2), ('期貨', 2), ('紐約', 2), ('中級', 2), ('倫敦', 2), ('北海', 2), ('布倫特', 2), ('危機', 2), ('道瓊', 2), ('指數', 2), ('權值股', 2), ('信心', 2), ('大關', 2), ('早盤', 2), ('出口商', 2), ('情緒', 2), ('中小企業', 2), ('投資案', 2)]"
娛樂,"[('音樂', 8), ('全球', 6), ('湯姆漢克斯', 6), ('李英宏', 5), ('歌曲', 5), ('疾病', 5), ('關頭', 5), ('歌手', 4), ('冠狀', 4), ('病毒', 4), ('節目', 3), ('演唱會', 3), ('電影', 3), ('檔期', 3), ('玩命', 3), ('時間', 3), ('心情', 3), ('澳洲', 3), ('Leo王', 2), ('電視', 2), ('鳳飛飛', 2), ('廣播', 2), ('薛岳', 2), ('經典', 2), ('台灣', 2), ('樂團', 2), ('內容', 2), ('武漢', 2), ('肺炎', 2), ('篇章', 2), ('粉絲', 2), ('所有人', 2), ('新片', 2), ('妻子', 2), ('夫妻倆', 2), ('棒球', 2), ('公視', 1), ('音樂路', 1), ('新聞稿', 1), ('J. Sheon', 1), ('新歌', 1), ('興趣', 1), ('帽子', 1), ('歌后', 1), ('季節', 1), ('感覺', 1), ('金曲獎', 1), ('金馬獎', 1), ('生命', 1), ('合聲', 1), ('林美滿', 1), ('老師', 1), ('主持人', 1), ('馬世芳', 1), ('情況', 1), ('人生', 1), ('方大同', 1), ('中文', 1), ('關鍵', 1), ('人物', 1), ('態度', 1), ('可能性', 1), ('指標', 1), ('搖滾', 1), ('大型', 1), ('編制', 1), ('主題', 1), ('疫情', 1), ('片商', 1), ('鉅片', 1), ('官方', 1), ('推特', 1), ('影片', 1), ('專頁', 1), ('日期', 1), ('北美', 1), ('地區', 1), ('大家庭', 1), ('戲院', 1), ('貼文', 1), ('網友', 1), ('好萊塢', 1), ('英國', 1), ('公司', 1), ('新聞網', 1), ('情報員', 1), ('詹姆士龐德', 1), ('生死', 1), ('噤界', 1), ('比得', 1), ('兔兔', 1), ('奧斯卡', 1), ('影帝', 1), ('消息', 1), ('社群', 1), ('媒體', 1), ('生活', 1), ('麗塔威爾森', 1), ('影迷', 1), ('黃金海岸', 1), ('醫院', 1), ('夫妻', 1), ('休閒服', 1), ('棒球帽', 1), ('合照', 1), ('神情', 1), ('內文', 1), ('專家', 1), ('難關', 1), ('紅粉', 1), ('聯盟', 1), ('台詞', 1), ('事情', 1), ('字典', 1), ('譯者', 1), ('盧映孜', 1), ('核稿', 1), ('嚴思祺', 1), ('1090313', 1)]"
生活,"[('中國', 17), ('疫情', 16), ('高齡', 16), ('口罩', 15), ('台灣', 14), ('花卉', 11), ('台糖', 11), ('義大利', 10), ('武漢', 10), ('號碼', 10), ('病毒', 9), ('民眾', 9), ('黑鳶', 9), ('肺炎', 8), ('聲明', 8), ('政府', 8), ('媒體', 8), ('事實', 8), ('結果', 7), ('新台幣', 7), ('中高齡', 7), ('措施', 7), ('市場', 7), ('產業', 7), ('經濟部', 7), ('風力', 7), ('綠能', 7), ('計畫', 7), ('全球', 6), ('獎號', 6), ('台彩', 6), ('子法', 6), ('農委會', 6), ('國中', 6), ('彭厝', 6), ('人員', 5), ('國家', 5), ('冠狀', 5), ('獎金', 5), ('派彩', 5), ('勞動部', 5), ('雇主', 5), ('辦法', 5), ('地方', 5), ('價格', 5), ('毛豆區', 5), ('生態', 5), ('農場', 5), ('台灣人', 4), ('注中獎', 4), ('星彩', 4), ('報告', 4), ('專家', 4), ('單位', 4), ('貸款', 4), ('肥料', 4), ('衝擊', 4), ('陳駿季', 4), ('環境', 4), ('程序', 4), ('稅號', 4), ('政策', 4), ('居民', 4), ('會考', 4), ('葉金川', 4), ('毛豆', 4), ('光電板', 4), ('農地', 4), ('人性', 3), ('疾病', 3), ('人數', 3), ('新聞', 3), ('海外', 3), ('費用', 3), ('禁令', 3), ('頭獎', 3), ('貳獎', 3), ('內容', 3), ('公司', 3), ('學者', 3), ('中天', 3), ('中視', 3), ('資料', 3), ('記者', 3), ('重點', 3), ('期間', 3), ('利息', 3), ('短期', 3), ('團體', 3), ('機制', 3), ('活動', 3), ('出口值', 3), ('切花', 3), ('協會', 3), ('農民', 3), ('快遞', 3), ('報單', 3), ('海關', 3), ('需求', 3), ('規定', 3), ('沿海', 3), ('民宅', 3), ('低頻', 3), ('當地', 3), ('縣府', 3), ('設施', 3), ('李俊興', 3), ('原則', 3), ('縣民', 3), ('教育部', 3), ('畢業生', 3), ('大學', 3), ('外交', 3), ('歷史', 3), ('社區', 3), ('農電', 3), ('屏東', 3), ('鹽埔鄉', 3), ('示範區', 3), ('棲地', 3), ('光電', 3), ('老鷹', 3), ('重擔', 2), ('旅義台人', 2), ('消息', 2), ('源頭', 2), ('意見', 2), ('情況', 2), ('問題', 2), ('影片', 2), ('超市', 2), ('正彩', 2), ('大樂透', 2), ('特別號', 2), ('美國', 2), ('人權', 2), ('財務', 2), ('廣電', 2), ('情形', 2), ('機關', 2), ('作業', 2), ('銀髮', 2), ('人才', 2), ('據點', 2), ('獎勵', 2), ('機構', 2), ('薪資', 2), ('補貼', 2), ('草案', 2), ('立法院', 2), ('預算', 2), ('項目', 2), ('葉菜', 2), ('豬肉', 2), ('供應量', 2), ('農業', 2), ('台北', 2), ('交易', 2), ('均價', 2), ('成本', 2), ('國軍', 2), ('副食', 2), ('學校', 2), ('午餐', 2), ('低利', 2), ('總產值', 2), ('國蘭', 2), ('商機', 2), ('公園', 2), ('中央', 2), ('國際', 2), ('中央社', 2), ('海運', 2), ('報關行', 2), ('實務', 2), ('金額', 2), ('雲林', 2), ('發電機', 2), ('蘇俊豪', 2), ('電纜', 2), ('高壓', 2), ('雲林縣', 2), ('民意', 2), ('教育', 2), ('品質', 2), ('高中職', 2), ('依據', 2), ('管道', 2), ('學生', 2), ('時間', 2), ('考試', 2), ('大陸', 2), ('地區', 2), ('考生', 2), ('居家', 2), ('力量', 2), ('衛生署', 2), ('署長', 2), ('衛生', 2), ('譚德塞', 2)]"
國際,[]
社會,"[('警方', 40), ('被告', 37), ('訊息', 23), ('男子', 21), ('疫情', 20), ('肺炎', 20), ('臉書', 15), ('地檢署', 11), ('現場', 11), ('武漢', 11), ('台中市', 10), ('貨車', 10), ('醫院', 10), ('高雄', 10), ('民眾', 9), ('沈正哲', 9), ('大麻', 8), ('女子', 7), ('罪嫌', 7), ('新台幣', 7), ('警察局', 7), ('檢察官', 7), ('新北市', 7), ('兒子', 7), ('人員', 7), ('群組', 6), ('傳染性', 6), ('條例', 6), ('毒品', 6), ('分局', 6), ('網路', 6), ('檢方', 6), ('陳姓', 6), ('地方', 6), ('法院', 6), ('鄭男', 6), ('期間', 6), ('集團', 6), ('被害人', 6), ('車手', 6), ('機車', 6), ('民宅', 6), ('轎車', 6), ('王女', 6), ('刑事局', 6), ('社團', 5), ('中心', 5), ('種子', 5), ('火車', 5), ('李承翰', 5), ('嘉義', 5), ('劉達鴻', 5), ('政府', 5), ('調查局', 5), ('病毒', 4), ('網友', 4), ('資訊', 4), ('刑事', 4), ('有期徒刑', 4), ('罰金', 4), ('台中', 4), ('錢男', 4), ('原因', 4), ('監視器', 4), ('醫師', 4), ('精神', 4), ('案件', 4), ('警分局', 4), ('騎士', 4), ('騎樓', 4), ('路口', 4), ('檢警', 4), ('苗栗縣', 4), ('豬屍', 4), ('夏男', 4), ('冠狀', 3), ('疾病', 3), ('基隆', 3), ('社區', 3), ('賴女', 3), ('楊姓', 3), ('基隆市', 3), ('病例', 3), ('警察', 3), ('大隊', 3), ('拘役', 3), ('狀況', 3), ('員警', 3), ('腹部', 3), ('能力', 3), ('思覺', 3), ('失調症', 3), ('父親', 3), ('女兒', 3), ('法官', 3), ('電話', 3), ('手機', 3), ('對向', 3), ('車道', 3), ('趙男', 3), ('責任', 3), ('聖德路', 3), ('二段', 3), ('電線桿', 3), ('桃園', 3), ('車手頭', 3), ('結果', 3), ('人犯', 3), ('旗下', 3), ('情形', 3), ('劉姓', 3), ('市民', 3), ('長庚', 3), ('謠言', 3), ('林姓', 3), ('龍鳳', 3), ('動物', 3), ('防疫所', 3), ('專線', 3), ('民生路', 3), ('丁男', 3), ('印尼籍', 3), ('住民', 3), ('何姓', 3), ('工程', 3), ('交通', 3), ('賴姓', 2), ('個案', 2), ('消息', 2), ('偵查隊', 2), ('工作', 2), ('錢姓', 2), ('證物', 2), ('開銷', 2), ('通訊', 2), ('軟體', 2), ('工具', 2), ('小組', 2), ('豐原區', 2), ('南陽路', 2), ('行人', 2), ('穿越道', 2), ('老婦', 2), ('反應', 2), ('公訴', 2), ('律師', 2), ('行為', 2), ('李增文', 2), ('幻聽', 2), ('情境', 2), ('說法', 2), ('家屬', 2), ('刀子', 2), ('現金', 2), ('財物', 2), ('板橋', 2), ('聲音', 2), ('金飾', 2), ('陳嫌', 2), ('百貨公司', 2), ('苗栗市', 2), ('英才路', 2), ('事故', 2), ('橘紅色', 2), ('白色', 2), ('鐵捲門', 2), ('玻璃門', 2), ('中壢區', 2), ('市政府', 2), ('消防局', 2), ('陳女', 2), ('台南市', 2), ('陰性', 2), ('三民', 2), ('風險', 2), ('作業', 2), ('贓款', 2), ('法務部', 2), ('小港', 2), ('新莊', 2), ('運動場', 2), ('記者會', 2), ('劉家榮', 2), ('蔡姓', 2), ('林口', 2), ('漁港', 2), ('豬隻', 2), ('海巡署', 2), ('機制', 2), ('動防所', 2), ('巡隊', 2), ('附近', 2), ('外觀', 2), ('檢體', 2), ('海巡', 2), ('豬瘟', 2), ('視線', 2), ('丁姓', 2), ('印尼', 2), ('外勞', 2)]"
文化,"[('楊牧', 77), ('台灣', 39), ('大學', 36), ('文學', 23), ('詩人', 16), ('東華', 16), ('歷史', 13), ('花蓮', 13), ('文學獎', 12), ('國際', 12), ('藝術', 11), ('社會', 11), ('作品', 11), ('作家', 11), ('文化', 10), ('劇場', 10), ('教授', 9), ('十宜樓', 9), ('大賽', 9), ('美國', 8), ('散文', 8), ('台北', 8), ('計畫', 8), ('疫情', 8), ('鹿港', 8), ('周東彥', 8), ('比較文學', 7), ('講座', 7), ('巴哈', 7), ('劉克襄', 7), ('蕭邦', 7), ('鋼琴', 7), ('博士', 6), ('人文', 6), ('文藝獎', 6), ('瑞典', 6), ('詩作', 6), ('學者', 6), ('風格', 6), ('牛耳', 6), ('觀眾', 6), ('老師', 6), ('建築', 6), ('故事', 6), ('漫畫', 6), ('須文蔚', 6), ('本名', 5), ('王靖獻', 5), ('加州', 5), ('柏克萊', 5), ('分校', 5), ('科學院', 5), ('政治', 5), ('詩刊', 5), ('高中', 5), ('現實', 5), ('學位', 5), ('時期', 5), ('學院', 5), ('馬友友', 5), ('全球', 5), ('代表', 5), ('游珮芸', 5), ('清水', 5), ('孩子', 5), ('澳洲', 5), ('波蘭', 5), ('東海', 4), ('外文系', 4), ('愛荷華', 4), ('國家', 4), ('筆名', 4), ('問題', 4), ('中學', 4), ('武漢', 4), ('肺炎', 4), ('冠狀', 4), ('病毒', 4), ('日本', 4), ('工程', 4), ('廈郊', 4), ('文史', 4), ('王惠美', 4), ('政府', 4), ('白色恐怖', 4), ('蔡焜霖', 4), ('預賽', 4), ('生命', 3), ('文化部', 3), ('碩士', 3), ('時報', 3), ('吳三連', 3), ('紐曼', 3), ('華語', 3), ('馬來西亞', 3), ('花蹤', 3), ('蟬獎', 3), ('現代詩', 3), ('藍星', 3), ('翻譯家', 3), ('身分', 3), ('中心', 3), ('文學界', 3), ('國泰', 3), ('醫院', 3), ('制度', 3), ('風氣', 3), ('時代', 3), ('詩文', 3), ('代表性', 3), ('地方', 3), ('單位', 3), ('音樂', 3), ('疾病', 3), ('價值', 3), ('世界', 3), ('方式', 3), ('文字', 3), ('生活', 3), ('中國', 3), ('所有權人', 3), ('周見信', 3), ('華文', 3), ('病房', 3), ('中央社', 3), ('音樂會', 3), ('手機', 3), ('導演', 3), ('鄭麗君', 2), ('正義', 2), ('華盛頓', 2), ('文哲所', 2), ('所長', 2), ('研究所', 2), ('著作', 2), ('葉珊', 2), ('詩集', 2), ('故鄉', 2), ('批判', 2), ('精神', 2), ('志文', 2), ('出版社', 2), ('洪範', 2), ('書店', 2), ('重鎮', 2), ('刊物', 2), ('人生', 2), ('高級部', 2), ('余光中', 2), ('葉慈', 2), ('關係', 2), ('同學', 2), ('運動', 2), ('專著', 2), ('外語', 2), ('中外', 2), ('文學家', 2), ('院士', 2), ('諾貝爾', 2), ('評審', 2), ('委員', 2), ('馬悅然', 2), ('希望', 2), ('諾貝爾獎', 2), ('樂迷', 2), ('時間', 2), ('狀態', 2), ('團隊', 2), ('大提琴', 2), ('組曲', 2), ('日期', 2), ('場地', 2), ('評論家', 2), ('川端康成', 2), ('美學', 2), ('色彩', 2), ('年紀', 2), ('大壽', 2), ('評論', 2), ('空間', 2), ('陳芳明', 2), ('魯迅', 2), ('日文', 2), ('場域', 2), ('資產', 2), ('據點', 2), ('縣府', 2), ('景點', 2), ('金盛巷', 2), ('平台', 2), ('跑馬樓', 2), ('老屋', 2), ('文化局', 2), ('彩繪', 2), ('資料', 2), ('兒童', 2), ('繪本', 2), ('綠島', 2), ('王子', 2), ('歷程', 2)]"
